id,name,updated_at,level,lft,parent_id,rght,tree_id,slug,slug_list
87,Bebidas Não-Alcoólicas,2019-10-31 01:35:09.369428+00,1,46,65,71,2,bebidas-nao-alcoolicas,"bebidas,bebidas/bebidas-nao-alcoolicas"
676,Músculo,2019-10-29 12:21:02.010158+00,2,45,652,46,6,musculo,"carnes-aves-e-peixes,carnes-aves-e-peixes/carne-bovina,carnes-aves-e-peixes/carne-bovina/musculo"
108,Queijo Mussarela,2019-10-31 02:31:04.302465+00,2,59,100,60,16,queijo-mussarela,"frios-e-laticinios,frios-e-laticinios/queijos,frios-e-laticinios/queijos/queijo-mussarela"
674,Filé Mignon,2019-10-30 19:59:29.258591+00,2,41,652,42,6,file-mignon,"carnes-aves-e-peixes,carnes-aves-e-peixes/carne-bovina,carnes-aves-e-peixes/carne-bovina/file-mignon"
400,Limpeza de Roupas,2019-10-29 15:06:11.467078+00,1,22,54,37,33,limpeza-de-roupas,"produtos-de-limpeza,produtos-de-limpeza/limpeza-de-roupas"
106,Queijo Gorgonzola,2019-10-30 19:43:18.080629+00,2,51,100,52,16,queijo-gorgonzola,"frios-e-laticinios,frios-e-laticinios/queijos,frios-e-laticinios/queijos/queijo-gorgonzola"
239,Leite de Côco,2019-10-30 20:01:07.119973+00,2,129,232,130,24,leite-de-coco,"mercearia,mercearia/doces-e-sobremesas,mercearia/doces-e-sobremesas/leite-de-coco"
115,Leites,2019-10-30 10:58:48.7222+00,1,28,99,37,16,leites,"frios-e-laticinios,frios-e-laticinios/leites"
596,Bota e Botina,2019-10-29 08:10:46.430928+00,2,35,595,36,36,bota-e-botina,"roupas-e-uniformes,roupas-e-uniformes/calcados,roupas-e-uniformes/calcados/bota-e-botina"
615,Protetor Auricular,2019-10-29 13:42:14.703994+00,2,27,602,28,36,protetor-auricular,"roupas-e-uniformes,roupas-e-uniformes/acessorios,roupas-e-uniformes/acessorios/protetor-auricular"
701,Tilápia,2019-10-30 20:01:19.295422+00,2,101,654,102,6,tilapia,"carnes-aves-e-peixes,carnes-aves-e-peixes/peixes-e-frutos-do-mar,carnes-aves-e-peixes/peixes-e-frutos-do-mar/tilapia"
540,Blocos Auto-adesivos Post-it,2019-10-30 12:51:23.757442+00,2,35,536,36,31,blocos-auto-adesivos-post-it,"papelaria-e-escritorio,papelaria-e-escritorio/escritorio,papelaria-e-escritorio/escritorio/blocos-auto-adesivos-post-it"
454,Vassoura e Rodos,2019-10-30 20:23:57.613877+00,2,39,442,40,14,vassoura-e-rodos,"equipamentos-e-utensilios,equipamentos-e-utensilios/utensilios-domesticos,equipamentos-e-utensilios/utensilios-domesticos/vassoura-e-rodos"
640,Light e Diet,2019-10-30 13:25:31.059437+00,1,2,637,3,35,light-e-diet,"produtos-saudaveis,produtos-saudaveis/light-e-diet"
152,Ervilha,2019-10-30 19:46:26.205127+00,2,95,148,96,24,ervilha,"mercearia,mercearia/conservas-e-enlatados,mercearia/conservas-e-enlatados/ervilha"
104,Queijo de Cabra,2019-10-30 20:53:03.90787+00,2,49,100,50,16,queijo-de-cabra,"frios-e-laticinios,frios-e-laticinios/queijos,frios-e-laticinios/queijos/queijo-de-cabra"
436,Garrafas Térmicas,2019-10-30 12:47:11.414119+00,2,69,425,70,14,garrafas-termicas,"equipamentos-e-utensilios,equipamentos-e-utensilios/utensilios-para-cozinha,equipamentos-e-utensilios/utensilios-para-cozinha/garrafas-termicas"
225,Macarrão Talharim,2019-10-30 12:53:11.694463+00,2,209,209,210,24,macarrao-talharim,"mercearia,mercearia/massas-e-molhos,mercearia/massas-e-molhos/macarrao-talharim"
103,Queijo Coalho,2019-10-31 01:03:54.697306+00,2,47,100,48,16,queijo-coalho,"frios-e-laticinios,frios-e-laticinios/queijos,frios-e-laticinios/queijos/queijo-coalho"
186,Feijão Carioca,2019-10-30 19:49:54.598028+00,2,165,184,166,24,feijao-carioca,"mercearia,mercearia/feijao,mercearia/feijao/feijao-carioca"
185,Feijão Branco,2019-10-30 19:57:39.158884+00,2,163,184,164,24,feijao-branco,"mercearia,mercearia/feijao,mercearia/feijao/feijao-branco"
184,Feijão,2019-10-30 19:57:43.314781+00,1,162,147,169,24,feijao,"mercearia,mercearia/feijao"
675,Lagarto,2019-10-30 20:02:27.358451+00,2,43,652,44,6,lagarto,"carnes-aves-e-peixes,carnes-aves-e-peixes/carne-bovina,carnes-aves-e-peixes/carne-bovina/lagarto"
643,Biscoito Salgado,2019-10-30 21:08:38.519479+00,2,57,202,58,24,biscoito-salgado,"mercearia,mercearia/biscoitos-torradas-e-salgadinhos,mercearia/biscoitos-torradas-e-salgadinhos/biscoito-salgado"
711,Geléias,2019-10-30 23:01:24.725951+00,2,125,232,126,24,geleias,"mercearia,mercearia/doces-e-sobremesas,mercearia/doces-e-sobremesas/geleias"
398,Lustra Móveis,2019-10-30 15:38:02.362083+00,2,57,389,58,33,lustra-moveis,"produtos-de-limpeza,produtos-de-limpeza/limpeza-geral,produtos-de-limpeza/limpeza-geral/lustra-moveis"
95,Refrigerantes,2019-10-31 03:19:55.1905+00,2,63,87,64,2,refrigerantes,"bebidas,bebidas/bebidas-nao-alcoolicas,bebidas/bebidas-nao-alcoolicas/refrigerantes"
