id,distributorprofile_id,name,uf
238,23,Pedra Bela,SP
239,23,Serra Negra,SP
240,23,Pedreira,SP
241,23,Itapira,SP
6,14,Guarulhos,SP
7,14,Itaquaquecetuba,SP
8,14,Mairiporã,SP
9,14,São Paulo,SP
242,23,Socorro,SP
243,23,Itatiba,SP
244,23,Pinhalzinho,SP
245,23,Lindóia,SP
246,23,Amparo,SP
247,23,Bragança Paulista,SP
248,23,Mogi Guaçu,SP
249,23,Mogi Mirim,SP
250,22,Taubaté,SP
251,22,Tejupá,SP
252,22,Teodoro Sampaio,SP
253,22,Terra Roxa,SP
254,22,Tietê,SP
255,22,Timburi,SP
256,22,Torre de Pedra,SP
257,22,Torrinha,SP
258,22,Trabiju,SP
259,22,São Paulo,SP
260,22,Tanabi,SP
261,22,Tapiraí,SP
262,22,Tapiratiba,SP
263,22,Taquaral,SP
264,22,Taquaritinga,SP
265,22,Taquarituba,SP
266,22,Taquarivaí,SP
267,22,Tarabai,SP
268,22,Tarumã,SP
269,22,Tatuí,SP
8392,33,Águas da Prata,SP
8393,33,Águas de Lindóia,SP
8395,33,Águas de São Pedro,SP
8407,33,Americana,SP
8410,33,Amparo,SP
8411,33,Analândia,SP
8412,33,Andradina,SP
8426,33,Araras,SP
8432,33,Artur Nogueira,SP
8436,33,Atibaia,SP
8438,33,Avaí,SP
8440,33,Avaré,SP
271,28,Minduri,MG
272,28,Mirabela,MG
273,28,Miradouro,MG
274,28,Miraí,MG
275,28,Miravânia,MG
276,28,Moeda,MG
277,28,Moema,MG
278,28,Monjolos,MG
279,28,Monsenhor Paulo,MG
280,28,Montalvânia,MG
281,28,Monte Alegre de Minas,MG
282,28,Monte Azul,MG
283,28,Monte Belo,MG
284,28,Monte Carmelo,MG
285,28,Monte Formoso,MG
286,28,Monte Santo de Minas,MG
287,28,Monte Sião,MG
288,28,Montes Claros,MG
289,28,Montezuma,MG
290,28,Morada Nova de Minas,MG
291,28,Morro da Garça,MG
292,28,Morro do Pilar,MG
293,28,Munhoz,MG
294,28,Muriaé,MG
295,28,Mutum,MG
296,28,Muzambinho,MG
297,28,Nacip Raydan,MG
298,28,Nanuque,MG
299,28,Naque,MG
300,28,Natalândia,MG
301,28,Natércia,MG
302,28,Nazareno,MG
303,28,Nepomuceno,MG
304,28,Ninheira,MG
305,28,Nova Belém,MG
306,28,Nova Era,MG
307,28,Nova Lima,MG
308,28,Nova Módica,MG
