user_id,consumidor_id,cep,cidade,cidade_id,estado,estado_id,anomes_cadastro,data_cadastro,data_ultimo_login,data_aniversario_pf,cadastro_com_cidade,tipo
1642968,8494,"",,,,,201910,31-10-2019,31-10-2019,,0,
1642861,8493,11704-400,PRAIA GRANDE,5167,SÃO PAULO,26,201910,31-10-2019,31-10-2019,,1,PJ
1642831,8492,"",,,,,201910,31-10-2019,31-10-2019,,0,
1642498,8491,13152-246,COSMÓPOLIS,4849,SÃO PAULO,26,201910,31-10-2019,31-10-2019,,1,PJ
1640977,8490,05712-080,SÃO PAULO,5270,SÃO PAULO,26,201910,30-10-2019,30-10-2019,15-06-1982,1,PF
1640903,8489,"",,,,,201910,30-10-2019,30-10-2019,,0,
1640670,8488,"",,,,,201910,30-10-2019,30-10-2019,,0,
1640630,8487,02404-000,SÃO PAULO,5270,SÃO PAULO,26,201910,30-10-2019,30-10-2019,,1,PJ
1640012,8486,02404-000,SÃO PAULO,5270,SÃO PAULO,26,201910,30-10-2019,30-10-2019,18-06-1995,1,PF
1639876,8484,06132-140,OSASCO,5095,SÃO PAULO,26,201910,30-10-2019,30-10-2019,18-08-1993,1,PF
1639451,8483,04742-001,SÃO PAULO,5270,SÃO PAULO,26,201910,30-10-2019,30-10-2019,,1,PJ
1639240,8482,11990-000,CANANÉIA,4818,SÃO PAULO,26,201910,30-10-2019,30-10-2019,,1,PJ
1639065,8481,"",,,,,201910,30-10-2019,30-10-2019,,0,
1638701,8485,04090-013,SÃO PAULO,5270,SÃO PAULO,26,201910,30-10-2019,30-10-2019,,1,PJ
1638434,8480,04027-000,SÃO PAULO,5270,SÃO PAULO,26,201910,30-10-2019,30-10-2019,,1,PJ
1638272,8479,08674-265,SUZANO,5293,SÃO PAULO,26,201910,30-10-2019,30-10-2019,29-06-1962,1,PF
1638252,8478,"",,,,,201910,30-10-2019,30-10-2019,,0,
1638022,8477,"",,,,,201910,30-10-2019,30-10-2019,,0,
1636401,8475,08380-200,SÃO PAULO,5270,SÃO PAULO,26,201910,30-10-2019,30-10-2019,15-06-1979,1,PF
1634593,8473,"",,,,,201910,29-10-2019,30-10-2019,,0,
1634488,8472,12410-453,PINDAMONHANGABA,5135,SÃO PAULO,26,201910,29-10-2019,30-10-2019,,1,PJ
1634226,8471,"",,,,,201910,29-10-2019,29-10-2019,,0,
