id,product_id,sku_id
58013,55365,16474
47626,160070,15796
36091,16504,4603
168112,5584536,2702
30177,26585,11114
33223,27413,11399
27189,19571,6017
20954,21238,7050
27264,26456,10938
36268,10190,11304
36367,14007,1490
168113,5581492,2702
36368,14009,1490
10265,15939,3503
12134,5953,670
209270,6520411,4189
311554,10161312,18530
3263,13007,1853
47736,160163,15893
36369,10200,1490
58457,457435,20428
3292,6696,814
3298,6702,820
145393,1593469,28644
33612,10032,2540
58600,477684,533
293076,8899868,45294
273975,6824965,44176
14094,17392,5087
33697,24606,7765
27452,19362,5817
30564,19235,9987
273976,6826083,44176
146266,5104833,14977
260062,6728074,7298
260063,6728076,37914
209271,6519099,4189
40809,24909,10070
3316,6721,840
30710,22516,6171
30782,5835,414
230644,7170055,17588
30853,27037,11382
33790,14544,4078
47851,161136,15965
40904,22271,9757
47959,160457,16070
140604,5363954,34324
230647,7170047,17591
21401,24349,7370
58879,477892,13931
31116,27077,11463
155654,5692853,35968
18396,17404,5016
273977,6823847,44176
41210,81068,13470
41287,81195,13543
31299,27201,11494
36716,21587,8544
155971,1764406,24235
48065,160467,16159
209272,6521723,4189
209273,6528617,4189
41514,81396,13716
92759,1533317,2830
209274,6523035,4189
209275,6524347,4189
37041,55093,12257
48171,160321,16254
31418,27277,11519
59261,478271,14336
209276,6529929,4189
48377,160952,16396
273978,6826580,44176
59493,497131,20546
273979,6842565,44176
42509,112220,13796
260065,6732273,7587
49054,160605,16528
49131,160690,16594
42559,112646,13094
31714,13656,2483
148144,5545684,35026
27922,25344,8434
209277,6516445,4189
12584,6667,895
5976,5707,1877
211011,6782641,40943
59796,493231,17764
148783,5529316,3352
118063,493479,20668
49207,160684,16665
5325,10294,1580
5334,10319,1605
59883,485593,20694
49283,160871,16722
211012,6784184,40943
28382,5677,1875
28448,10101,1407
5352,10515,1784
4383,13045,2000
4392,13055,2009
49359,161027,16761
28592,26730,11213
31996,27148,11651
49430,161152,16799
18620,16517,4607
18669,13139,2041
12642,16514,4592
211013,6786532,40943
148893,5583851,2604
28806,16243,4280
12028,10406,1687
12055,5461,52
12700,16478,4461
148894,5580807,2604
6090,13220,2100
60185,485595,3341
42720,81362,13446
60313,16432,4540
12781,5984,324
149043,5580882,2173
12859,14838,3201
29069,24826,9351
42765,113233,13888
42784,113616,4970
34163,22151,9661
34196,14733,3054
29363,18427,5621
34226,13599,4000
149044,5583926,2173
19132,19583,6039
3583,5842,549
34327,19191,6243
3729,5757,752
149181,5580946,3989
34352,24530,7594
34380,26883,11323
42885,113576,1247
42909,113786,5253
19334,19716,6206
143759,25658,10291
149182,5583990,3989
42934,113621,2639
29948,25791,10778
42942,112340,5342
230659,7170063,17600
149301,5581016,35292
19450,19793,5660
19537,19863,6340
247089,8058227,42737
4015,10013,1334
19723,19966,6442
4081,13005,1851
3590,5847,554
294330,7702527,35386
311561,10161322,538
36092,16506,4604
27190,19573,6019
149302,5584060,35292
30178,26588,11145
294332,7702568,15267
12071,5930,790
40633,14380,3823
118738,17775,4702
118968,17816,211
149408,5584795,14244
119537,6501,443
119972,18020,4856
120307,112697,14455
121794,1695985,31650
149409,5581751,14244
36370,14011,1491
92764,1533318,2830
149504,5584712,35321
36371,10202,1491
137973,714046,25256
138160,5158250,33748
58159,6070,1946
273980,6843101,44176
33613,20044,6527
47627,160076,15801
140231,1695611,30941
20955,21239,7051
16455,15849,2945
27453,19353,5818
36457,21521,8262
33698,24609,7768
58458,457441,20429
209278,6690399,40107
2523,5675,1873
145394,1593468,28644
12135,5954,671
209279,6693415,40107
209280,6692661,40107
40905,22272,9760
41031,22712,9859
41032,22713,9859
140605,5363955,34325
33791,14545,4080
36717,21589,8546
275755,5643014,44242
3366,6659,887
79035,112182,19162
3378,6671,899
30854,27038,11385
58739,477751,13800
209281,6691907,40107
47737,160162,15894
36886,55623,4086
47852,161150,15966
154615,5642394,20350
154616,6274,20350
3757,10349,1638
230639,7170350,17604
230642,7170352,17609
58880,477893,7145
59011,478034,13337
31050,24004,1892
31117,27268,11464
41440,81416,12928
155655,5692855,35969
136283,5114548,33350
209282,6694169,40107
59138,478160,14228
155972,1764407,22697
209283,6687722,40107
28189,26711,11131
47960,160459,16071
37469,55292,12578
48066,160468,16160
59494,497132,20547
37540,22596,6590
209284,6689645,40107
209285,6691153,40107
48172,160294,16255
127035,1847554,32765
211014,6784185,40944
48378,160953,16397
3981,9693,1107
37687,22597,6592
211015,6782642,40944
37688,55960,6592
4009,10229,1523
31655,27300,11568
42387,15842,3676
211016,6786533,40944
157055,638783,26225
211732,6927223,5356
31833,27125,11618
4030,6712,833
18444,14448,3914
169786,5900485,37628
211733,17378,5356
4082,13006,1852
59884,493176,20695
34164,24576,7681
4771,13168,2058
34197,14774,3055
4324,13153,2015
21301,25529,7272
28383,13621,2425
49055,160606,16529
21337,24320,7307
42510,112222,13797
4375,13049,1992
4393,13056,2010
18490,14525,4060
49132,160689,16595
4429,10056,1375
60044,12969,8660
49208,160676,16666
49284,160873,16723
49360,161036,16762
10879,14447,3913
12701,16361,4464
49431,161154,16800
28807,16242,4287
60186,485596,20531
29006,14130,2466
4560,10309,1595
4575,10094,1399
5977,10223,1517
60253,493354,20873
18621,16518,4608
60314,16421,4550
18670,13145,2042
170070,5900483,37769
29070,10218,1512
34301,15994,3444
34328,19193,6245
29296,21563,2693
29364,18428,5622
11771,5596,333
34353,24531,7595
34381,26886,11322
34407,13147,2039
19133,19584,6040
34431,24662,7839
29683,5577,272
19201,19625,6089
11962,14805,2934
19235,19650,6121
34453,20388,6958
34478,13025,1968
137974,10083,1393
42742,113331,13880
278347,539160,2248
34572,16099,5716
3433,9864,1211
278593,539598,3533
34647,25893,10847
12072,5929,791
36093,16507,4605
29952,6057,594
10962,14518,4053
12169,10407,1688
47738,160154,15895
27266,26450,10939
36372,10206,1497
20956,21208,7052
36373,14019,1497
36458,21522,8263
36459,26592,8263
40723,20001,6482
36718,25675,10665
40906,22273,9761
278830,539151,21227
279066,6501122,44491
118065,493372,18005
118433,81036,13440
279290,9013082,44526
118969,1718730,31203
157760,636570,27361
119538,17750,1428
212405,6840235,9536
120309,26802,11186
121202,1718794,1383
121565,1718778,18189
121795,1695986,31651
212406,6927482,9536
41033,5860,7035
27454,19354,5819
213089,6871516,4963
213591,6794095,40093
21179,22461,7182
213954,6794248,41189
5164,6651,879
279654,9256077,44562
279655,9256035,44562
14096,17443,5089
279866,8900326,5008
47853,161134,15967
139258,5327675,34179
143600,14653,3172
143760,25659,10292
281256,8900249,17953
148145,5545674,35027
148895,5580808,28243
158435,623692,18391
58459,465060,20430
58602,477681,9052
58740,477757,13808
194466,1595301,7760
4376,13043,1993
4385,13048,2002
4394,13052,2011
158681,5758189,24344
58881,477894,13933
41441,81160,13657
140232,1384719,27558
11316,10326,1611
194467,24605,7760
11317,10327,1611
209286,6523473,40810
145395,5392573,34444
47961,160525,16072
37690,22635,6594
153836,5664420,34459
4772,13166,2059
48067,160476,16161
48173,160296,16256
209287,6524785,40810
42388,15845,3676
79036,113189,14713
59139,478161,14229
4576,10097,1401
154617,26948,158
59263,478273,2831
127036,1847584,32766
42483,112956,5188
38101,55258,12811
21467,24396,7422
245061,6516318,19928
5240,5752,747
140606,5363956,34326
21517,25455,7467
11443,10183,1474
154618,5642395,158
