Tipo,Ano,Trimestre,Mês,Dia,MesAno,AnoMes,NumBU
ESTUDANTE,2006,Tri 2,abril,30,2006-04-30 00:00:00,200604,792011
ESTUDANTE,2006,Tri 2,maio,31,2006-05-31 00:00:00,200605,801721
ESTUDANTE,2006,Tri 2,junho,30,2006-06-30 00:00:00,200606,774615
ESTUDANTE,2006,Tri 3,julho,31,2006-07-31 00:00:00,200607,628389
ESTUDANTE,2006,Tri 3,agosto,31,2006-08-31 00:00:00,200608,788104
ESTUDANTE,2006,Tri 3,setembro,30,2006-09-30 00:00:00,200609,824890
ESTUDANTE,2006,Tri 4,outubro,31,2006-10-31 00:00:00,200610,816326
ESTUDANTE,2006,Tri 4,novembro,30,2006-11-30 00:00:00,200611,819111
ESTUDANTE,2006,Tri 4,dezembro,31,2006-12-31 00:00:00,200612,799517
ESTUDANTE,2007,Tri 1,janeiro,31,2007-01-31 00:00:00,200701,756724
ESTUDANTE,2007,Tri 1,fevereiro,28,2007-02-28 00:00:00,200702,771524
ESTUDANTE,2007,Tri 1,março,31,2007-03-31 00:00:00,200703,876071
ESTUDANTE,2007,Tri 2,abril,30,2007-04-30 00:00:00,200704,1010068
ESTUDANTE,2007,Tri 2,maio,31,2007-05-31 00:00:00,200705,1077010
ESTUDANTE,2007,Tri 2,junho,30,2007-06-30 00:00:00,200706,1077702
ESTUDANTE,2007,Tri 3,julho,31,2007-07-31 00:00:00,200707,1087656
ESTUDANTE,2007,Tri 3,agosto,31,2007-08-31 00:00:00,200708,963134
ESTUDANTE,2007,Tri 3,setembro,30,2007-09-30 00:00:00,200709,963245
ESTUDANTE,2007,Tri 4,outubro,31,2007-10-31 00:00:00,200710,1011543
ESTUDANTE,2007,Tri 4,novembro,30,2007-11-30 00:00:00,200711,1019328
ESTUDANTE,2007,Tri 4,dezembro,31,2007-12-31 00:00:00,200712,1008705
ESTUDANTE,2008,Tri 1,janeiro,31,2008-01-31 00:00:00,200801,995534
ESTUDANTE,2008,Tri 1,fevereiro,29,2008-02-29 00:00:00,200802,1073003
ESTUDANTE,2008,Tri 1,março,31,2008-03-31 00:00:00,200803,1178802
ESTUDANTE,2008,Tri 2,abril,30,2008-04-30 00:00:00,200804,1251202
ESTUDANTE,2008,Tri 2,maio,31,2008-05-31 00:00:00,200805,1287009
ESTUDANTE,2008,Tri 2,junho,30,2008-06-30 00:00:00,200806,1305528
ESTUDANTE,2008,Tri 3,julho,31,2008-07-31 00:00:00,200807,1306037
ESTUDANTE,2008,Tri 3,agosto,31,2008-08-31 00:00:00,200808,1339216
ESTUDANTE,2008,Tri 3,setembro,30,2008-09-30 00:00:00,200809,1370103
ESTUDANTE,2008,Tri 4,outubro,31,2008-10-31 00:00:00,200810,1389598
ESTUDANTE,2008,Tri 4,novembro,30,2008-11-30 00:00:00,200811,1396289
ESTUDANTE,2008,Tri 4,dezembro,31,2008-12-31 00:00:00,200812,1392116
ESTUDANTE,2009,Tri 1,janeiro,31,2009-01-31 00:00:00,200901,1386223
ESTUDANTE,2009,Tri 1,fevereiro,28,2009-02-28 00:00:00,200902,1441667
ESTUDANTE,2009,Tri 1,março,31,2009-03-31 00:00:00,200903,1549966
ESTUDANTE,2009,Tri 2,abril,30,2009-04-30 00:00:00,200904,1614086
ESTUDANTE,2009,Tri 2,maio,31,2009-05-31 00:00:00,200905,1648803
ESTUDANTE,2009,Tri 2,junho,30,2009-06-30 00:00:00,200906,1667859
ESTUDANTE,2009,Tri 3,julho,31,2009-07-31 00:00:00,200907,1672401
ESTUDANTE,2009,Tri 3,agosto,31,2009-08-31 00:00:00,200908,1696937
ESTUDANTE,2009,Tri 3,setembro,30,2009-09-30 00:00:00,200909,1724931
ESTUDANTE,2009,Tri 4,outubro,31,2009-10-31 00:00:00,200910,1747398
ESTUDANTE,2009,Tri 4,novembro,30,2009-11-30 00:00:00,200911,1755426
ESTUDANTE,2009,Tri 4,dezembro,31,2009-12-31 00:00:00,200912,1754340
ESTUDANTE,2010,Tri 1,janeiro,31,2010-01-31 00:00:00,201001,1750516
ESTUDANTE,2010,Tri 1,fevereiro,28,2010-02-28 00:00:00,201002,1808407
ESTUDANTE,2010,Tri 1,março,31,2010-03-31 00:00:00,201003,1918659
ESTUDANTE,2010,Tri 2,abril,30,2010-04-30 00:00:00,201004,1985583
