UF  1.ª Habilitação,Sexo,Faixa Etária,Categoria,2015,2016,2017,2018,2019
São Paulo,Masculino,Não Identificado,B-Condutor Carro,,,,,2
São Paulo,Masculino,18 a 21,A-Condutor Moto,11,699,"2,679","5,183","4,025"
São Paulo,Masculino,18 a 21,AB-Condutor Moto/Carro,"1,566","52,534","85,097","106,887","64,266"
São Paulo,Masculino,18 a 21,AC-Condutor Moto/Caminhão,27,377,396,50,
São Paulo,Masculino,18 a 21,AD-Condutor Moto/Ônibus,59,789,56,,
São Paulo,Masculino,18 a 21,AE-Condutor Moto/Carreta,1,42,2,,
São Paulo,Masculino,18 a 21,B-Condutor Carro,"1,113","28,822","47,569","61,947","37,914"
São Paulo,Masculino,18 a 21,C-Condutor Caminhão,6,57,68,10,
São Paulo,Masculino,18 a 21,D-Condutor Ônibus,14,109,14,,
São Paulo,Masculino,18 a 21,E-Condutor Carreta,1,6,,,
São Paulo,Masculino,22 a 25,A-Condutor Moto,"2,920","4,531","4,458","3,944","2,153"
São Paulo,Masculino,22 a 25,AB-Condutor Moto/Carro,"114,810","68,551","43,206","34,569","16,236"
São Paulo,Masculino,22 a 25,AC-Condutor Moto/Caminhão,400,150,94,6,
São Paulo,Masculino,22 a 25,AD-Condutor Moto/Ônibus,"3,874","1,314",123,,
São Paulo,Masculino,22 a 25,AE-Condutor Moto/Carreta,250,33,1,,
São Paulo,Masculino,22 a 25,B-Condutor Carro,"73,022","49,913","31,969","26,594","12,965"
São Paulo,Masculino,22 a 25,C-Condutor Caminhão,74,36,22,2,
São Paulo,Masculino,22 a 25,D-Condutor Ônibus,835,348,25,,
São Paulo,Masculino,22 a 25,E-Condutor Carreta,22,2,1,,
São Paulo,Masculino,26 a 30,A-Condutor Moto,"2,007","2,296","2,221","2,087","1,161"
São Paulo,Masculino,26 a 30,AB-Condutor Moto/Carro,"32,499","24,311","20,355","18,383","9,339"
São Paulo,Masculino,26 a 30,AC-Condutor Moto/Caminhão,76,58,60,7,
São Paulo,Masculino,26 a 30,AD-Condutor Moto/Ônibus,"1,137",519,52,,
São Paulo,Masculino,26 a 30,AE-Condutor Moto/Carreta,42,10,1,,
São Paulo,Masculino,26 a 30,B-Condutor Carro,"26,027","21,138","17,988","16,819","8,653"
São Paulo,Masculino,26 a 30,C-Condutor Caminhão,24,9,9,1,
São Paulo,Masculino,26 a 30,D-Condutor Ônibus,353,210,19,,
São Paulo,Masculino,26 a 30,E-Condutor Carreta,12,4,,,
São Paulo,Masculino,26 a 30,X-Condutor Ciclomotor,,,1,1,
São Paulo,Masculino,31 a 40,A-Condutor Moto,"1,514","1,914","1,668","1,594",853
São Paulo,Masculino,32 a 40,AB-Condutor Moto/Carro,"25,755","18,252","15,540","14,737","7,579"
São Paulo,Masculino,33 a 40,AC-Condutor Moto/Caminhão,44,50,32,3,
São Paulo,Masculino,34 a 40,AD-Condutor Moto/Ônibus,836,371,43,,
São Paulo,Masculino,35 a 40,AE-Condutor Moto/Carreta,27,12,,,
