Data,Precipitacao,TempMinima,TempMaxima
01/01/2000,16.8,19.7,24.7
01/01/2001,0.1,17.5,25.7
01/01/2002,0.0,19.5,28.0
01/01/2003,26.2,21.9,31.4
01/01/2004,12.0,16.7,23.7
01/01/2005,0.2,19.9,30.1
01/01/2006,4.2,19.1,24.9
01/01/2007,36.2,17.8,25.5
01/01/2008,0.0,21.9,31.8
01/01/2009,3.9,20.0,30.6
01/01/2010,3.4,18.9,24.3
01/01/2011,0.0,19.2,26.2
01/01/2012,37.6,17.8,23.8
01/01/2013,0.0,22.0,31.9
01/01/2014,0.0,23.2,32.3
01/01/2015,0.0,23.9,32.5
01/01/2016,0.0,21.2,30.3
01/01/2017,0.0,18.1,31.7
01/01/2018,26.0,19.3,29.2
01/01/2019,0.0,18.7,31.8
01/02/2000,16.5,20.4,25.7
01/02/2001,18.0,20.2,29.9
01/02/2002,4.2,22.3,28.7
01/02/2003,8.6,19.1,31.7
01/02/2004,70.0,18.4,30.3
01/02/2005,0.4,18.6,25.3
01/02/2006,7.3,18.7,28.3
01/02/2007,0.0,20.2,32.1
01/02/2008,2.7,18.5,30.5
01/02/2009,0.0,21.5,31.9
01/02/2010,0.8,19.0,33.1
01/02/2011,1.8,21.1,27.7
01/02/2012,0.0,18.6,31.1
01/02/2013,0.0,21.1,28.7
01/02/2014,0.0,21.3,35.9
01/02/2015,0.0,20.6,28.0
01/02/2016,0.0,22.5,33.5
01/02/2017,1.0,18.6,27.6
01/02/2018,0.0,18.3,27.3
01/02/2019,0.0,21.7,35.5
01/03/2000,2.8,20.0,29.3
01/03/2001,0.0,18.9,29.1
01/03/2002,18.2,17.9,31.5
01/03/2003,0.0,19.8,33.9
01/03/2004,0.0,18.1,30.0
01/03/2005,0.0,19.8,28.0
01/03/2006,0.0,20.0,31.7
01/03/2007,0.0,21.3,31.8
01/03/2008,3.3,19.1,28.3
01/03/2009,0.0,23.2,34.1
01/03/2010,32.3,16.2,20.6
01/03/2011,71.8,18.3,22.8
01/03/2012,0.0,22.1,34.3
01/03/2013,0.0,19.0,28.5
01/03/2014,32.2,17.7,27.8
01/03/2015,3.0,18.2,26.3
01/03/2016,20.4,16.2,20.4
01/03/2017,0.0,20.7,30.9
01/03/2018,0.0,20.9,30.6
01/03/2019,27.1,19.3,23.4
01/04/2000,4.0,18.3,27.3
01/04/2001,5.0,18.1,30.0
01/04/2002,0.0,20.7,31.1
01/04/2003,0.0,18.9,27.1
01/04/2004,0.0,16.8,28.1
01/04/2005,0.0,20.7,30.7
01/04/2006,0.0,17.1,26.8
01/04/2007,3.7,22.0,31.3
01/04/2008,0.0,15.2,28.5
01/04/2009,0.0,18.4,27.3
01/04/2010,0.0,19.0,26.8
01/04/2011,0.0,18.8,28.8
01/04/2012,0.0,17.7,27.1
01/04/2013,0.0,18.0,0.0
01/04/2014,0.1,19.9,29.3
01/04/2015,0.0,19.2,27.5
01/04/2016,0.6,20.8,29.4
01/04/2017,0.0,16.0,23.9
01/04/2018,8.0,19.3,28.5
01/04/2019,0.0,18.7,27.7
01/05/2000,0.0,17.7,29.1
01/05/2001,0.0,17.7,29.6
01/05/2002,1.4,18.5,24.9
01/05/2003,0.0,19.0,30.1
01/05/2004,0.0,14.7,25.3
01/05/2005,3.2,13.7,19.9
01/05/2006,0.0,16.0,27.1
01/05/2007,0.0,15.2,25.9
01/05/2008,0.0,13.7,18.5
01/05/2009,0.0,15.2,24.9
01/05/2010,0.0,14.2,26.1
01/05/2011,0.0,16.5,26.0
01/05/2012,31.4,11.2,18.9
01/05/2013,0.0,17.9,0.0
01/05/2014,0.0,16.9,23.1
01/05/2015,0.0,13.4,22.0
01/05/2016,0.0,10.7,20.8
01/05/2017,0.0,15.0,23.8
01/05/2018,0.0,18.1,28.0
01/05/2019,0.0,18.0,27.2
01/06/2000,0.2,13.0,17.0
01/06/2001,0.0,16.7,27.9
01/06/2002,0.0,16.3,23.7
01/06/2003,0.0,14.5,26.9
01/06/2004,11.2,13.4,23.3
01/06/2005,0.0,16.7,24.0
01/06/2006,0.0,15.4,23.5
01/06/2007,0.0,10.7,25.7
01/06/2008,20.8,11.1,16.5
01/06/2009,7.2,10.3,22.3
01/06/2010,0.4,12.7,16.8
01/06/2011,0.0,10.7,22.7
01/06/2012,0.0,16.7,23.5
01/06/2013,0.0,14.2,26.6
01/06/2014,0.0,13.4,21.6
01/06/2015,2.2,15.2,18.0
01/06/2016,1.2,17.0,23.5
01/06/2017,0.0,17.3,20.7
01/06/2018,0.0,15.2,25.1
01/06/2019,7.6,18.6,24.8
01/07/2000,0.0,12.4,22.3
01/07/2001,0.0,10.3,23.9
01/07/2002,0.0,14.7,25.8
01/07/2003,0.0,11.1,23.9
01/07/2004,0.0,14.8,25.6
01/07/2005,0.0,16.0,23.7
01/07/2006,0.0,11.8,23.3
01/07/2007,0.0,11.1,23.0
01/07/2008,0.0,13.4,25.5
01/07/2009,0.0,16.0,25.9
01/07/2010,0.0,10.9,23.7
01/07/2011,0.0,13.1,26.8
01/07/2012,0.0,13.7,26.2
01/07/2013,16.2,13.1,17.3
01/07/2014,0.0,11.7,22.4
01/07/2015,0.0,16.2,20.5
01/07/2016,0.0,13.0,24.4
01/07/2017,0.0,14.7,21.3
01/07/2018,0.0,14.9,27.4
01/07/2019,0.0,18.6,26.2
01/08/2000,0.0,12.4,23.5
01/08/2001,0.0,13.4,26.4
01/08/2002,2.1,15.3,22.1
01/08/2003,0.0,14.7,23.7
01/08/2004,0.0,12.7,23.3
01/08/2005,0.0,14.2,27.3
01/08/2006,2.7,11.1,15.7
01/08/2007,0.0,9.3,26.6
01/08/2008,0.0,14.7,28.6
01/08/2009,0.2,13.7,21.6
01/08/2010,0.0,15.8,24.4
01/08/2011,0.0,15.2,20.4
01/08/2012,0.3,14.4,24.4
01/08/2013,0.0,10.7,27.9
01/08/2014,0.0,12.0,26.3
01/08/2015,0.0,14.3,26.4
01/08/2016,0.0,13.5,25.2
01/08/2017,0.0,12.0,21.6
01/08/2018,0.0,12.5,14.5
01/08/2019,0.0,12.4,27.5
01/09/2000,0.6,12.7,23.5
01/09/2001,0.0,17.5,29.8
01/09/2002,11.8,12.3,22.2
01/09/2003,0.9,11.1,21.9
01/09/2004,0.0,13.1,28.3
01/09/2005,3.3,18.0,29.1
01/09/2006,0.0,14.0,27.3
01/09/2007,0.0,15.1,29.7
01/09/2008,0.0,12.4,25.8
01/09/2009,0.0,16.2,29.8
01/09/2010,0.0,16.8,29.9
01/09/2011,6.2,9.1,18.3
01/09/2012,0.0,14.0,29.9
01/09/2013,0.0,15.3,30.3
01/09/2014,10.8,15.2,26.2
01/09/2015,0.0,17.2,30.7
01/09/2016,4.2,13.1,23.4
01/09/2017,0.0,14.8,23.5
01/09/2018,0.0,17.0,31.8
01/09/2019,11.5,16.5,21.8
01/10/2000,0.0,12.7,28.5
01/10/2001,0.0,16.7,22.9
01/10/2002,1.6,16.7,24.1
01/10/2003,0.0,14.7,25.8
01/10/2004,0.0,13.4,20.6
01/10/2005,0.0,16.5,27.8
01/10/2006,5.6,15.6,22.2
01/10/2007,0.0,14.1,23.5
01/10/2008,0.0,15.2,30.1
01/10/2009,0.0,12.5,23.1
01/10/2010,0.0,19.2,22.1
01/10/2011,0.0,18.1,34.1
01/10/2012,0.0,13.6,32.3
01/10/2013,6.6,17.4,25.7
01/10/2014,2.0,19.0,29.9
01/10/2015,7.6,17.6,26.4
01/10/2016,0.0,12.9,20.2
01/10/2017,25.5,16.2,27.0
01/10/2018,35.5,18.9,25.2
01/11/2000,0.0,16.9,27.9
01/11/2001,0.0,17.1,26.9
01/11/2002,0.0,18.0,25.1
01/11/2003,0.0,17.7,28.3
01/11/2004,0.0,18.5,23.9
01/11/2005,0.0,14.7,17.3
01/11/2006,5.2,19.7,27.5
01/11/2007,0.0,19.1,33.1
01/11/2008,0.0,14.9,25.5
01/11/2009,0.0,18.5,30.3
01/11/2010,0.0,18.0,23.6
01/11/2011,0.0,12.1,20.3
01/11/2012,0.0,19.1,25.8
01/11/2013,0.0,15.4,23.8
01/11/2014,5.6,20.3,32.2
01/11/2015,27.2,18.7,22.4
01/11/2016,0.0,17.8,30.2
01/11/2017,0.0,14.6,22.0
01/11/2018,10.2,18.1,27.9
01/12/2000,0.1,15.5,20.9
01/12/2001,15.9,17.7,25.5
01/12/2002,0.0,21.7,32.5
01/12/2003,13.0,18.8,25.2
01/12/2004,0.0,16.2,24.8
01/12/2005,2.2,20.3,26.8
01/12/2006,0.0,16.8,24.5
01/12/2007,0.0,14.8,27.9
01/12/2008,0.0,18.0,31.5
01/12/2009,0.0,22.0,29.3
01/12/2010,24.0,18.7,29.0
01/12/2011,0.0,18.9,29.0
01/12/2012,0.0,19.1,30.6
01/12/2013,0.0,19.9,24.7
01/12/2014,2.2,19.2,31.1
01/12/2015,0.0,16.4,25.8
01/12/2016,0.0,14.6,22.3
01/12/2017,0.0,18.0,25.2
01/12/2018,76.6,18.9,26.6
02/01/2000,49.8,17.6,20.8
02/01/2001,0.0,17.5,26.8
02/01/2002,2.2,19.1,30.3
02/01/2003,2.7,21.4,30.8
02/01/2004,11.8,15.7,19.5
02/01/2005,0.0,18.7,30.3
02/01/2006,5.6,19.2,25.3
02/01/2007,2.4,19.2,26.3
02/01/2008,1.2,20.4,27.0
02/01/2009,13.6,19.6,25.9
02/01/2010,10.2,19.1,29.6
02/01/2011,32.2,18.9,21.3
02/01/2012,32.1,16.7,25.7
02/01/2013,0.0,18.1,26.6
02/01/2014,1.0,21.5,31.9
02/01/2015,0.0,24.5,33.5
