id_cliente,parent_id,num_pedidos,volumepedidos,volumecompras
3,,3162,470844.256394993,112039.22902
3,18,785,136419.1256,18041.5636
3,46,269,18530.45,2824.89
3,54,637,29256.9943999999,5748.6812
3,58,11,460.42,
3,65,1764,493667.292300001,102047.0184
3,99,854,128086.561858999,36079.548569
3,147,3711,500794.813479998,82482.6147400003
3,255,281,29903.2,1842.52
3,325,113,6813.03260000001,2005.0708
3,378,2160,988083.602300005,155367.1097
3,379,11,582.4196,
3,585,34,306.64,48.04
5,,4,679.9,299.9
5,18,2,51.1492,51.1492
5,54,4,451.02,251.92
5,65,3,841.62,
5,99,1,152.64,152.64
5,147,2,186.1694,186.1694
5,255,1,118.44,118.44
5,378,6,2651.1,1326.9
11,,2,7921.35,
11,147,1,89.4,
12,,2,736.8,
12,65,4,888.65,
12,99,1,465.6,
19,,45,14264.8596,11163.0796
19,18,1,3.0,
19,54,4,61.17,
19,65,1,32.1,
19,99,4,443.77,215.4
19,147,6,336.6,
19,378,49,17269.65,13025.0
49,147,2,82.05,
49,378,3,1247.4,
51,,9,1842.72,
51,18,1,162.0,
51,65,2,620.1,
51,99,1,33.115,
51,147,5,843.27,
51,378,7,1737.78,
67,,1,330.0,
67,54,1,324.25,
67,65,1,79.4604,
67,325,1,4.25,
67,378,2,436.0,
84,,4,3947.8,
84,54,4,864.49,
84,378,2,1850.0,
97,65,1,33.9,
98,,5,521.26,
98,65,6,1503.234,
98,99,2,145.84,
98,147,14,488.3194,
98,378,1,406.8,
103,,1819,324671.888074001,37.22
103,14,6,27.0,
103,18,201,19011.2896,
103,46,15,1131.31,
103,54,474,24652.3788000001,
103,58,113,2548.95,
103,65,1265,767081.000200008,859.1704
103,99,800,730227.455353007,
103,147,3747,1564931.56289997,272.77
103,255,177,20489.2108,
103,325,67,24540.4,
103,378,1269,1324003.8728,
103,379,88,3772.5033,
103,585,13,767.0,
107,,1,2.61,
107,147,1,29.8,
112,54,1,26.55,
115,54,1,132.9,
117,378,1,7.6,
120,,9,758.39,
120,54,5,968.81,788.65
120,99,3,31.2,
120,147,9,356.86,
120,378,13,3833.59,
121,,2,520.0,
121,378,4,1064.86,
123,,2,45.4,
123,65,3,201.44,
123,147,1,460.09,
128,,3,879.6872,116.9592
128,65,2,208.34,208.34
128,147,1,32.03,32.03
130,,170,37010.0525,20755.1471
130,18,7,99.0,33.0
130,54,16,1391.6596,172.66
130,65,4,152.1,82.2
130,99,59,7461.2501,3722.4792
130,147,200,21790.94788,7306.799
130,378,190,159914.1691,74228.3995
134,,1,2.61,
143,,318,39965.0502,58.6
143,18,53,4760.1028,
143,46,8,59.98,
143,54,56,2439.68,
143,58,1,18.25,
143,65,141,15854.0345,
143,99,38,6792.65392,
143,147,457,25090.82,
143,255,17,664.3,
143,325,26,745.2,
143,378,294,126844.8915,196.55
143,379,2,10.82,
143,585,3,28.83,
151,,3,557.5,
151,378,1,155.52,
154,,1,99.0,
154,99,1,528.0,
154,378,10,5029.7,
157,,2,20.84,
157,378,1,24.0,
158,,19,905.84,
158,18,4,472.7,
158,54,4,68.86,
158,147,2,40.3,
158,378,1,137.7,
159,,3,269.0,
159,147,6,814.28,
159,378,4,2727.9,
164,,8,128.83,
164,54,12,609.83,
164,65,9,178.31,
164,99,1,16.09,
164,147,2,13.5,
164,378,5,92.77,
168,,14,1900.2776,
168,54,1,12.6,
168,65,1,19.8,
168,99,1,542.4,
168,147,2,55.76,
168,378,8,1989.9,
176,,2,32.0,
176,65,2,11.52,
176,99,3,37.25,
176,147,2,22.7,
176,378,3,41.14,
178,,1,1275.0,1275
178,378,1,581.8,581.8
183,99,3,815.29,
183,378,2,735.0,
184,,3,1585.0,
184,378,3,982.0,
186,,4,231.07,208
186,18,1,83.0,
186,378,1,315.6,
187,378,1,252.75,
189,65,1,0.48,
189,99,2,126.58,
189,378,1,140.22,
194,,19,3689.69,312
194,65,8,1608.73,230.4
194,99,3,4605.4,
194,147,7,900.13,
194,378,26,9725.5711,189
221,,1,74.0,
221,99,1,318.0,
221,147,1,147.5,
221,378,1,264.0,
223,378,1,302.5,
228,,19,3656.25,
228,18,1,108.0,
228,46,1,1.9,
228,54,1,10.92,
228,65,3,149.4,
228,147,8,117.48,
228,378,23,12314.6,
231,,1,59.89,
231,18,1,195.56,
231,46,1,157.12,
231,54,1,47.34,
231,255,1,48.9,
235,18,4,33.1,
235,54,17,809.8408,137.17
235,65,1,68.45,68.45
235,99,2,150.6604,123.07
235,147,10,1654.6196,846.66
235,255,7,496.23,135.6
237,,27,3556.0446,
237,18,1,162.0,
237,54,3,7.57,
237,65,2,37.86,
237,147,10,302.21,
237,378,10,3922.19,
