id_cliente,categoria_nivel3,num_pedidos,volumepedidos,volumecompras
3,39,8,258.5,
3,52,6,870.88,
3,62,451,30661.0948,4761.364
3,67,143,5526.15,1512.15
3,68,203,14439.44,1555.07
3,69,11,126.28,
3,70,153,18261.8002,3742.8756
3,72,21,613.17,262.23
3,74,13,878.86,303.24
3,75,88,18353.59,593.7
3,76,88,1587.4708,508.7202
3,77,105,7147.71,1563.64
3,80,140,4209.35,1248.88
3,81,235,8376.24999999999,2178.81
3,82,1,21.07,
3,83,66,6214.17,1507.53
3,84,220,74932.52,13910.45
3,85,429,51856.7299999999,7466.97
3,86,93,18861.18,1120.3
3,88,10,157.49,
3,89,285,15428.2396,3212.1996
3,90,38,915.2916,627.3312
3,91,1,32.0,32
3,92,68,14250.0146,2059.4672
3,93,27,182.45,104.39
3,94,28,519.12,
3,95,405,85288.5154999995,2908.7946
3,96,103,4153.25,339.57
3,97,22,205.03,11.88
3,98,90,8523.64000000002,2061.86
3,101,3,163.64,163.64
3,102,24,1174.18,205.36
3,103,92,3586.978,1116.468
3,105,2,13.25,13.25
3,106,43,2171.606,581.0698
3,107,2,189.9,
3,108,209,37254.418439,13535.930039
3,110,133,20258.62525,7534.31025
3,111,6,2136.96,
3,112,17,1455.95,427.25
3,113,58,928.934,519.626
3,114,155,11717.9666,1482.0865
3,117,274,14539.1764,5742.8388
3,118,2,93.7008,
3,119,13,252.42,
3,122,1,43.1,
3,123,83,5573.1404,1119.6092
3,124,150,8006.52637,2253.74648
3,125,28,1900.795,365.02
3,126,2,38.86,10.42
3,128,11,562.8612,
3,129,43,8609.74,
3,132,305,19131.8,2491.01
3,135,7,711.6698,
3,136,286,32362.051,10886.6998
3,137,32,4311.74,825
3,138,140,6198.4012,2365.6572
3,139,177,4386.729,989.881
3,140,86,16743.51,
3,142,8,373.0,
3,143,2,101.7192,
3,145,475,30399.885,8309.295
3,148,353,18613.05047,6385.83012
3,149,167,14214.42004,1711.61004
3,150,111,5203.28,1538.84
3,152,25,621.6344,
3,153,246,2933.798,507.45
3,154,220,11729.15,3411.71
3,156,201,6800.76850000001,379.12
3,157,4,160.0,
3,158,570,52356.8445999999,7632.0128
3,159,303,9047.09,1479.51
3,160,14,694.17,
3,161,39,3143.4876,1004.0808
3,163,2,43.45,
3,164,430,31516.03,755.15
3,165,6,145.0,
3,166,2,139.64,
3,167,16,645.75,21.9
3,168,122,488.550000000001,149.86
3,169,300,5468.78,1485.62
3,172,78,3328.23,246.32
3,173,187,7621.38999999999,1319.01
3,174,7,648.13,
3,175,34,17939.0,
3,176,17,163.48,11.1
3,177,70,1817.52,268.68
3,179,1,157.4,
3,180,19,193.91,
3,181,12,736.9405,
3,182,2,297.58,
3,183,321,14017.3,4849.36
3,184,2,17.5,
3,185,46,851.2,98.74
3,186,513,29635.298,3366.1
3,189,186,4465.61,1292.7
3,191,18,261.22,
3,193,36,395.19,267.9
3,194,6,35.82,
3,195,362,7822.78999999999,848.69
3,196,44,900.65,65.7
3,199,2,5.5,
3,202,159,4022.19,1132.55
3,208,35,848.55,
3,216,273,5856.0348,601.0612
3,222,172,4408.1932,452.9608
3,223,145,1631.4828,509.3116
3,224,4,24.6,
3,226,1,4.5,
3,227,121,2576.8116,1003.3452
3,230,52,1286.73,18.68
3,232,2,269.74,
3,233,74,1877.17,436.39
3,234,143,4484.4629,
3,235,44,1560.90984,247.17
3,236,273,6026.93119999997,888.940000000001
3,237,658,29485.7795,8004.0695
3,238,64,1232.07,425.27
3,239,127,1438.49,419.1
3,240,176,13082.457,2652.7345
3,241,404,24230.02,7065.01
3,242,3,43.98,
3,243,320,9969.44999999998,3169.21
3,244,496,29888.0800000001,6579.71
3,245,71,1318.87,230.86
3,246,669,26401.2586000001,6012.58759999999
3,247,1,22.4,
3,248,311,4158.75899999999,655.680000000001
3,250,230,32999.8266000001,2472.7
3,251,369,4389.1601,1469.0501
3,253,217,8208.98200000001,427.01
3,254,362,6662.0352,1795.5104
3,257,6,25.92,
3,275,4,30.84,
3,276,26,1106.43,
3,280,51,1122.38,210.61
3,286,2,286.98,
3,290,4,42.6,
3,291,1,17.85,
3,297,1,15.84,
3,308,1,65.52,
3,314,13,1648.36,106.26
3,323,210,25540.48,1525.65
3,326,1,12.9,
3,340,1,8.7,
3,342,2,99.3,
3,343,2,60.35,
3,351,8,517.75,
3,352,2,7.0,
3,353,11,486.75,
3,355,1,2.9,
3,357,1,2.9,
3,361,2,43.0,
3,365,1,1.8,
3,373,1,4.9,
3,374,36,2218.33,267.92
3,376,91,5577.6826,2005.0708
3,382,2,35.7196,
3,383,9,211.2,
3,384,9,335.5,
3,388,8,638.7,
3,389,84,2194.12,690.22
3,390,172,6847.362,1742.502
3,393,11,364.65,66.3
3,396,32,3582.53,18.5
3,397,59,863.77,182.03
3,398,41,370.54,17.6
3,399,4,47.89,15.59
3,401,3,276.16,
3,402,7,178.85,
3,403,51,442.55,189.82
3,404,3,701.56,
3,406,40,195.44,144.44
3,409,204,7217.09999999999,1924.26
3,410,71,956.752399999999,172.4592
3,412,16,559.75,212.58
3,416,198,4212.82,780.73
3,417,55,2430.42,281.87
3,418,1,8.85,
3,424,1,171.0,
3,426,2,865.0,
3,429,12,47.91,
3,430,36,268.2,87.6
3,439,24,11.51,0.5
3,442,1,19.9,
3,444,145,10880.48,1728.96
3,451,48,635.4,220.2
3,452,92,5617.96,754.64
3,454,2,32.99,32.99
3,462,4,4215.0,
3,465,1,118.65,
3,470,5,289.25,101.02
3,471,83,14563.25,4801.68
3,477,40,30148.34,139.2
3,480,58,2213.45,28.56
3,484,57,2595.76,1374.99
3,489,2,282.19,
3,494,119,2191.32,159.23
3,495,44,257.17,16.17
3,496,165,8396.08292499999,3048.7119
3,497,176,14207.34,2388.98
3,498,18,2122.9,1511.5
3,499,8,700.64,
3,502,27,519.21,110.06
3,503,22,101.27,30.42
3,504,2,126.41,
3,505,15,128.47,11.47
3,506,11,92.47,11.47
3,508,153,55880.1352,4330.5632
3,509,1,45.7,
3,510,195,5774.47,1308.93
3,515,1,2.54,
3,516,191,6372.91039999999,1776.3004
3,518,19,378.97,100.08
3,519,1,95.2,95.2
3,524,5,232.12,
3,528,1,1.1,
3,562,1,59.2,
3,566,7,145.52,
3,577,2,254.6,
3,580,4,1960.0,
3,581,1,239.9,
3,587,34,306.64,48.04
3,618,63,5323.67,1171.76
3,621,10,217.09,
3,622,1,38.0004,
3,633,59,5527.9,
3,634,8,2080.0,
3,636,50,12249.4832,
3,638,10,204.1,
3,641,2,124.812,
3,643,26,6186.315,
3,646,24,154.97,
3,649,8,56.2,
3,651,213,17915.0408,5922.38
3,652,209,71839.3,10297.56
3,653,126,24597.155,6420.435
3,654,482,92239.6499999999,34092.82
3,656,9,945.78,86.364
3,657,3,330.05,
3,658,3,922.5,
3,659,114,11242.54,5796.39
3,660,350,63799.6163,17462.9883
3,662,1,91.56,
3,663,232,17275.845,3471.515
3,664,9,693.12,
3,665,1,117.0,
3,666,42,10464.46,234
3,667,138,98010.7,2822.5
3,668,17,2059.0,238.9
3,669,264,113864.3,20113.02
3,670,91,23651.25,3211.61
3,671,12,4465.0,1132.5
3,672,165,53319.1206,11306.0
3,673,101,70675.9804,8366.9664
3,674,208,142312.82,4017.5
3,675,75,22388.0,4723.3
3,676,1,295.0,
3,677,44,17350.5,3000
3,678,195,10995.32,3323.28
3,679,54,9639.8,1195.2
3,680,82,10067.22,3144.91
