id_cliente,categoria_nivel2,num_pedidos,volumepedidos,volumecompras
3,,465,31790.4748,4761.364
3,14,74,5578.7604,1171.76
3,18,350,14654.702925,4180.5419
3,36,5,2199.9,
3,46,5,4234.9,
3,52,1004,100605.0952,25127.973
3,54,84,2194.12,690.22
3,60,50,12249.4832,
3,66,1163,364012.251000001,90689.5257999999
3,87,895,129655.041299999,11357.4926
3,99,155,11717.9666,1482.0865
3,100,381,69334.441689,24096.904089
3,115,289,14885.2972,5742.8388
3,121,212,15562.42177,3748.79568
3,127,343,28304.4012,2491.01
3,147,997,67399.9974699997,17537.80462
3,148,786,41503.0509400002,7548.73004
3,157,794,65241.5922,10115.6036
3,162,434,31930.61,755.15
3,167,627,38347.5099999998,3232.39
3,177,42,8012.43,97.1
3,178,508,40060.568,14346.8347
3,184,667,34952.108,4757.54
3,190,436,9415.66999999999,1182.29
3,197,174,5157.37,598.61
3,198,2,5.5,
3,202,152,15024.277,416.0
3,209,586,16219.8324,2585.3588
3,232,1304,70687.5934400001,13961.6095
3,242,1679,124236.701500001,22885.3980999999
3,256,6,25.92,
3,272,78,2259.65,210.61
3,285,2,286.98,
3,287,5,60.45,
3,292,1,15.84,
3,307,1,65.52,
3,310,13,1648.36,106.26
3,319,210,25540.48,1525.65
3,325,37,2231.23,267.92
3,338,3,168.35,
3,350,21,1060.3,
3,362,1,6.7,
3,375,91,5577.6826,2005.0708
3,378,877,207536.9258,56819.559
3,379,8,638.7,
3,380,11,582.4196,
3,389,321,14507.162,2324.392
3,400,76,1794.56,334.26
3,408,272,8733.6024,2309.2992
3,415,199,4221.67000000001,780.73
3,420,1,171.0,
3,425,74,1192.62,88.1
3,442,226,17166.83,2736.79
3,463,89,14971.15,4902.7
3,476,40,30148.34,139.2
3,481,57,2595.76,1374.99
3,488,2,282.19,
3,492,162,2448.49,175.4
3,496,218,17550.09,4010.54
3,503,17,347.35,22.94
3,507,487,68075.7556000001,7415.7936
3,525,1,1.1,
3,536,1,59.2,
3,565,7,145.52,
3,576,2,254.6,
